price,bedrooms,location
55000000,2,Roysambu
55000000,4,Karen
55000000,5,Lavington
55000000,4,Kileleshwa
55000000,4,Kileleshwa
53000000,4,Karen
53000000,5,Lavington
53000000,6,Lavington
52000000,4,Westlands
52000000,4,Nairobi Central
42000000,4,Westlands
42000000,4,Muthaiga
42000000,5,Muthaiga
40750000,4,Westlands
40000000,3,Westlands
40000000,3,Kileleshwa
40000000,4,Westlands
40000000,3,Westlands
40000000,4,Westlands
38250000,3,Westlands
38000000,4,Lavington
38000000,4,Kilimani
38000000,3,Westlands
38000000,4,Kileleshwa
37300000,4,Nairobi Central
37300000,4,Nairobi Central
36000000,4,Mugumo-Ini (Langata)
36000000,3,Kilimani
35000000,4,Westlands
35000000,3,Parklands
35000000,4,Parklands
35000000,3,Spring Valley
35000000,5,Parklands
34000000,3,Kileleshwa
34000000,4,Westlands
34000000,4,Lavington
34000000,3,Spring Valley
34000000,3,Westlands
33600000,3,Kileleshwa
33000000,5,Kitisuru
33000000,3,Kilimani
33000000,4,Lavington
32500000,4,Mugumo-Ini (Langata)
32500000,2,Nairobi Central
32000000,4,Mugumo-Ini (Langata)
32000000,3,Westlands
32000000,4,Westlands
32000000,4,Thindigua
32000000,3,Westlands
32000000,4,Mugumo-Ini (Langata)
32000000,3,Parklands
32000000,3,Kileleshwa
32000000,4,Westlands
31500000,2,Westlands
31000000,3,Parklands
31000000,4,Kilimani
31000000,3,Kileleshwa
30000000,4,Kilimani
30000000,5,Westlands
30000000,3,Kilimani
29500000,4,Kilimani
29000000,3,Kileleshwa
29000000,3,Nairobi West
29000000,4,Kileleshwa
29000000,4,Parklands
28500000,4,Westlands
28500000,4,Westlands
28000000,3,Parklands
28000000,2,Spring Valley
28000000,4,Lavington
27000000,3,Kilimani
27000000,4,Nairobi Central
27000000,4,Kilimani
27000000,2,Westlands
26600000,4,Westlands
26000000,3,Westlands
26000000,450,Embakasi
26000000,4,Parklands
26000000,4,Kileleshwa
25500000,4,Kitisuru
25500000,4,Lavington
25000000,4,Lavington
25000000,4,Kileleshwa
25000000,3,Kilimani
25000000,4,Parklands
25000000,3,Kilimani
25000000,4,Nairobi West
25000000,3,Kileleshwa
25000000,3,Kileleshwa
25000000,3,Kilimani
25000000,3,Kileleshwa
25000000,3,Westlands
25000000,3,Parklands
24700000,4,Westlands
24500000,3,Parklands
24000000,3,Kilimani
24000000,3,Westlands
24000000,3,Kilimani
24000000,3,Parklands
24000000,3,Parklands
24000000,3,Lavington
24000000,3,Kilimani
23000000,3,Kileleshwa
23000000,3,Parklands
23000000,3,Parklands
23000000,4,Kileleshwa
23000000,4,Lavington
23000000,3,Parklands
23000000,3,Kileleshwa
23000000,3,Kileleshwa
23000000,3,Kilimani
23000000,3,Parklands
23000000,3,Kileleshwa
23000000,3,Kileleshwa
22500000,3,Lavington
22500000,4,Parklands
22000000,4,Parklands
22000000,4,Parklands
22000000,4,Kileleshwa
22000000,2,Kileleshwa
22000000,3,Parklands
22000000,4,Westlands
22000000,3,Parklands
21600000,3,Mugumo-Ini (Langata)
21600000,3,Mugumo-Ini (Langata)
21500000,3,Westlands
21300000,3,Kilimani
21000000,3,Kileleshwa
21000000,3,Kileleshwa
20800000,2,Westlands
20000000,3,Kileleshwa
20000000,3,Kileleshwa
20000000,4,Kileleshwa
20000000,3,Kilimani
20000000,4,Kileleshwa
20000000,4,Lavington
20000000,2,Westlands
20000000,1,Spring Valley
20000000,3,Kileleshwa
20000000,3,Westlands
20000000,2,Parklands
19600000,3,Kileleshwa
19000000,2,Westlands
19000000,2,Westlands
19000000,4,Parklands
19000000,2,Westlands
19000000,3,Kileleshwa
19000000,2,Westlands
19000000,3,Kileleshwa
19000000,4,Parklands
19000000,5,Westlands
18500000,2,Kileleshwa
18500000,2,Kileleshwa
18500000,2,Kileleshwa
18500000,2,Kileleshwa
18000000,3,Kileleshwa
18000000,4,Kilimani
18000000,2,Kileleshwa
17500000,2,Kileleshwa
17200000,3,Kilimani
17000999,4,Kilimani
17000000,3,Kilimani
17000000,3,Kilimani
17000000,2,Kileleshwa
17000000,2,Kileleshwa
17000000,3,Kileleshwa
17000000,3,Westlands
17000000,2,Kileleshwa
17000000,1,Westlands
17000000,3,Parklands
17000000,2,Kileleshwa
17000000,2,Kileleshwa
16650000,3,Kilimani
16600000,2,Kileleshwa
16500000,3,Kileleshwa
16500000,3,Kilimani
16500000,3,Kilimani
16500000,3,Kileleshwa
16500000,3,Kilimani
16500000,3,Westlands
16000000,3,Kilimani
16000000,3,Kilimani
16000000,2,Parklands
16000000,3,Westlands
16000000,2,Lavington
16000000,3,Parklands
16000000,3,Parklands
16000000,2,Lavington
16000000,2,Kileleshwa
16000000,2,Westlands
15650000,3,Kilimani
15500000,2,Kileleshwa
15500000,3,Kitisuru
15500000,4,Lavington
15500000,4,Embakasi
15500000,2,Kilimani
15000000,2,Parklands
15000000,3,Kilimani
15000000,4,Kitisuru
15000000,2,Kilimani
15000000,2,Kileleshwa
15000000,3,Kilimani
14500000,3,Parklands
14500000,3,Lavington
14450000,3,Kilimani
14000000,3,Kilimani
14000000,3,Westlands
14000000,3,Parklands
14000000,3,Parklands
14000000,2,Westlands
14000000,3,Westlands
14000000,2,Kilimani
13500000,2,Westlands
13500000,2,Kilimani
13000000,3,Thindigua
13000000,3,Kilimani
13000000,3,Lavington
13000000,2,Karen
13000000,2,Lavington
13000000,3,Nairobi Central
13000000,2,Lavington
12500000,3,Lavington
12500000,2,Kilimani
12500000,2,Kilimani
12500000,2,Lavington
12500000,2,Nairobi Central
12500000,2,Lavington
12500000,3,Lavington
12250000,2,Lavington
12000000,3,Thindigua
12000000,2,Kilimani
12000000,3,Nairobi Central
12000000,1,Westlands
12000000,3,Kilimani
12000000,2,Kitisuru
12000000,2,Kileleshwa
12000000,3,Kilimani
11999999,3,Kileleshwa
11900000,1,Westlands
11500000,2,Kilimani
11500000,3,Kilimani
11500000,3,Kileleshwa
11000000,2,Kileleshwa
11000000,2,Westlands
11000000,2,Kilimani
11000000,3,Lavington
11000000,2,Kilimani
11000000,2,Kileleshwa
11000000,3,Uthiru/Ruthimitu
10700000,3,Kileleshwa
10650000,2,Westlands
10500000,2,Nairobi West
10500000,1,Kilimani
10500000,3,Kangemi
10450000,2,Nairobi West
10000000,3,Mugumo-Ini (Langata)
10000000,3,Lavington
10000000,1,Westlands
10000000,2,Kileleshwa
10000000,1,Embakasi
10000000,3,Mountain View
10000000,1,Westlands
10000000,2,Utawala
9900000,3,Kileleshwa
